quarter	gas	price	income	miles
1972.4	-7.634623	4.531717	-4.157555	2.591516
1973.1	-7.606151	4.531126	-4.150146	2.589642
1973.2	-7.625179	4.54356	-4.149023	2.587764
1973.3	-7.620612	4.540858	-4.144428	2.585882
1973.4	-7.628435	4.601014	-4.130499	2.583997
1974.1	-7.737227	4.73435	-4.155976	2.586259
1974.2	-7.703093	4.796311	-4.174081	2.588516
1974.3	-7.68182	4.773173	-4.174542	2.590767
1974.4	-7.647267	4.730467	-4.180104	2.593013
1975.1	-7.67028	4.721725	-4.198524	2.594882
1975.2	-7.673598	4.726068	-4.157104	2.596746
1975.3	-7.694903	4.766653	-4.175806	2.598607
1975.4	-7.689864	4.767389	-4.168096	2.600465
1976.1	-7.673608	4.74403	-4.158282	2.600836
1976.2	-7.66296	4.723825	-4.158494	2.601207
1976.3	-7.660979	4.723013	-4.159304	2.601578
1976.4	-7.651936	4.728776	-4.157702	2.601949
1977.1	-7.657642	4.731314	-4.160647	2.60694
1977.2	-7.64901	4.725569	-4.154308	2.611906
1977.3	-7.646001	4.705353	-4.139049	2.616848
1977.4	-7.649135	4.709094	-4.137531	2.621766
1978.1	-7.657363	4.699367	-4.129727	2.626298
1978.2	-7.642133	4.673999	-4.11695	2.630809
1978.3	-7.637718	4.678699	-4.113466	2.6353
1978.4	-7.644944	4.711411	-4.107745	2.639771
1979.1	-7.634155	4.737268	-4.10542	2.646352
1979.2	-7.684886	4.848168	-4.110224	2.65289
1979.3	-7.690778	4.965428	-4.108253	2.659385
1979.4	-7.699923	5.018858	-4.108714	2.665838
1980.1	-7.727037	5.130968	-4.107552	2.683928
1980.2	-7.747409	5.149823	-4.130193	2.701697
1980.3	-7.768291	5.121161	-4.123072	2.719155
1980.4	-7.770349	5.108043	-4.106715	2.736314
1981.1	-7.746104	5.176053	-4.107763	2.743739
1981.2	-7.749401	5.162098	-4.113578	2.75111
1981.3	-7.752783	5.128757	-4.10358	2.758426
1981.4	-7.758903	5.126579	-4.10885	2.76569
1982.1	-7.748258	5.089216	-4.116735	2.776643
1982.2	-7.740548	5.016708	-4.109173	2.787477
1982.3	-7.760993	5.046284	-4.1106	2.798196
1982.4	-7.765389	5.018583	-4.112362	2.8088
1983.1	-7.734547	4.951649	-4.111137	2.816157
1983.2	-7.761149	4.973684	-4.105544	2.82346
1983.3	-7.738656	4.978372	-4.09589	2.83071
1983.4	-7.72975	4.947877	-4.079108	2.837908
1984.1	-7.743051	4.937271	-4.059039	2.847957
1984.2	-7.723525	4.926296	-4.050855	2.857906
1984.3	-7.719794	4.885598	-4.04159	2.867757
1984.4	-7.715204	4.886159	-4.039545	2.877512
1985.1	-7.721207	4.876889	-4.040108	2.882564
1985.2	-7.717261	4.896123	-4.021586	2.88759
1985.3	-7.71862	4.877967	-4.034639	2.892591
1985.4	-7.71905	4.865803	-4.03058	2.897568
1986.1	-7.702826	4.79969	-4.020278	2.898395
1986.2	-7.689694	4.598733	-4.006467	2.899221
1986.3	-7.685297	4.52283	-4.012002	2.900047
1986.4	-7.670334	4.488154	-4.016886	2.900872
1987.1	-7.685728	4.581026	-4.011549	2.913573
1987.2	-7.664967	4.594879	-4.030798	2.926114
1987.3	-7.682947	4.624788	-4.019994	2.9385
1987.4	-7.672442	4.617012	-4.00732	2.950735
1988.1	-7.678686	4.583605	-3.996853	2.959328
1988.2	-7.669295	4.572124	-3.997311	2.967847
1988.3	-7.675229	4.578095	-3.993513	2.976295
1988.4	-7.657843	4.557322	-3.985354	2.984671
1989.1	-7.670982	4.561117	-3.979249	2.990091
1989.2	-7.713211	4.683528	-3.988068	2.995482
1989.3	-7.675435	4.627944	-3.985719	3.000844
1989.4	-7.636929	4.584531	-3.980442	3.006177
1990.1	-7.672857	4.628345	-3.971611	3.013695
1990.2	-7.706511	4.617825	-3.969884	3.021156
1990.3	-7.710044	4.693574	-3.971754	3.028562
1990.4	-7.717076	4.829451	-3.978981	3.035914
