"vCap" "vLab" "vMat" "qApples" "qOtherOut" "qOut" "pCap" "pLab" "pMat" "pOut" "adv"
85208 155645 227766 3.77273393 0.60774499 2540677.7736 0.62502098 0.841802 8.24131584 0.709455287322691 1
100937 308178 270645 6.06842995 3.2755971 5419535.689 1.10154104 0.90285802 6.12653923 1.21553120984355 1
253052 642765 413434 7.38979483 2.09488797 5501116.024 1.67001104 0.98711401 8.09195232 1.08475026861495 0
30558 130552 140828 2.654881 0.58187503 1877318.4974 1.49430299 0.98061001 5.7660079 1.87988264298243 1
351351 1682201 1523776 35.20189667 0.76239502 20859289.1802 0.80773598 1.31333494 11.58232212 1.99460573844923 0
84188 145454 170921 2.21909595 0.84391803 1776548.1084 1.59155297 0.71268201 9.77081585 1.04717650354669 1
137854 139157 265907 6.24074793 0.83669102 4104914.591 1.13107705 0.84869999 8.71556091 1.02924650576652 1
96335 254701 402266 0.107442 1.308393 821184.3 0.46137199 1.27523398 6.2858429 0.735497540060258 0
100936 156113 194934 3.04804397 1.05127096 2377602.6594 4.42522001 1.30297506 6.70759201 2.94301494215864 0
77528 354703 289964 1.08047402 1.87105 1711883.9316 1.251284 0.88908702 5.67153597 0.6999463527937 0
273570 390209 420639 1.847808 2.82497597 2710214.7026 1.19406104 1.05542099 8.52599716 0.599672645385469 1
54872 206606 112810 4.60020113 1.461115 3515563.3554 2.13338494 1.02680302 4.96026897 2.31444634076826 0
75342 179898 186929 1.42446995 1.14923894 1492751.1562 2.48466992 0.84865701 6.26450777 1.10965089852836 0
137460 257346 242591 5.96017599 0.347011 3658168.4542 2.34465909 0.91798902 10.09721947 1.98218073599742 0
71699 168557 170601 0.38763201 0.63204801 591414.4116 1.06226099 0.87877202 8.43593025 0.815042354326986 0
65872 146392 218935 1.45048797 1.79050899 1879778.2368 1.278772 1.06352603 4.09722519 0.777583840260224 0
27085 120454 79333 0.349204 0.92247999 737576.7142 0.80833399 0.83990997 8.81090355 0.836005002197737 0
118934 269927 319517 8.68936634 1.85428703 6115318.9546 0.42144799 0.97040701 4.41739416 0.595843529189966 0
122489 352684 372660 3.2706871 3.21073508 3759224.8644 1.083341 0.83986002 10.21625423 1.1225413502642 1
87002 149690 196155 2.30827403 0.877042 1847483.2974 0.72850603 0.76651597 7.9480772 0.618116173381041 0
54225 164395 120737 1.01745105 2.63135791 2116309.1968 0.75093198 0.84219003 2.69913101 0.546176393048072 1
46190 179458 86188 2.8488059 1.46243095 2500517.373 0.86213797 0.87250203 3.64461207 0.768782560848137 0
50109 122703 208011 1.69808304 1.44918299 1825414.2974 0.53780502 0.88378602 7.08875704 0.69273436516659 1
71077 172014 117119 0.90474701 0.41337499 764510.76 0.70131397 1.32042003 8.35090637 0.519524239633087 1
14168 200272 49953 0.115787 0.224428 197324.7 1.19663095 1.16938698 4.38228416 0.801031715166801 1
153069 319161 88989 0.434874 1.89553297 1351636.0426 1.34410703 1.04548395 6.77954483 0.552062341226033 1
117261 190328 80618 0.37135401 0.84670699 706475.38 1.74825799 0.80962002 5.805583 0.850192987821727 0
86923 163359 53811 1.48304904 1.83951104 1927084.8464 1.09452403 0.83533698 3.35418892 0.556348226806736 0
100984 290503 165127 0.673141 0.63508302 758769.9316 0.33159199 1.192307 5.71200418 0.795034891772208 0
40965 167931 71288 1.07648396 0.578973 960165.0368 3.16394591 0.89656001 3.75478101 1.09520897562193 1
52850 172727 55834 0.198394 1.07410705 738050.609 0.697348 0.89964998 3.33742595 0.867644248768518 0
117998 152535 114147 2.3135891 0.91193199 1870802.2322 2.27843809 0.89911002 5.81528616 0.88749422012696 0
142364 240257 136437 0.98650199 3.04804397 2340036.6568 0.98979199 1.06405795 3.37663603 0.509651043680038 0
107609 442238 318062 2.34362793 1.77606499 2389421.8936 1.90913498 0.998052 12.06187916 1.78216132704904 1
8951 134758 35994 0.78380102 0.39164501 681758.6974 2.00535297 1.19395304 3.78857493 2.54367021114497 0
48746 113017 63568 0.121481 0.914123 600650.32 0.91883397 0.83726102 5.00721598 0.869675144438114 1
167203 203486 147286 0.483695 1.24358702 1001823.5716 2.35210299 0.92991698 6.32190084 0.544134510855076 0
452146 1157608 994214 37.98152924 3.76030493 24210263.8186 2.14382195 1.08160901 8.14700222 2.75715471379355 0
95725 242371 135965 5.1043849 0.203152 3078371.402 0.74442703 1.25224805 6.41237688 0.844931227278375 1
95178 267956 127769 3.85395503 0.78529203 2690763.2948 0.466429 1.243662 5.10265017 0.56957156150579 1
182140 531956 317932 20.00735664 1.11638999 12251773.0454 2.27261209 0.95381099 5.57816601 2.43870732449877 1
82995 207228 128412 4.34445381 0.13202 2596354.8098 1.55636001 1.17132998 9.13095188 1.78940364705462 1
293274 698029 507115 17.44581985 0.37459901 10335842.9388 2.10977197 0.99741298 8.54084492 1.95332456101595 0
44720 149730 43686 0.40333 2.12867594 1468563.4452 0.61378503 1.17720103 6.47805309 0.776313716558986 0
113231 233265 109133 0.48003301 1.55955398 1182960.4542 2.0229969 1.27395999 5.300282 0.716618513042642 1
199501 581074 515592 19.88767052 0.54947102 11853542.0932 0.51211298 1.23962605 8.12755394 1.06037985045037 0
113472 306001 121758 7.15706491 0.365058 4362831.2878 1.29525805 1.19403696 6.109653 1.28637944142466 1
12053 86056 108874 1.52622902 0.56564403 1213286.369 0.82201201 0.692249 10.54772282 2.35975807521657 1
145385 199204 280882 3.25567603 2.22888207 3181043.698 1.69470704 1.04555702 6.56570578 1.02481753397959 0
