economy,economycode,wpid_random,wgt,female,age,educ,inc_q,emp_in,fin2,fin3,fin4,fin5,fin6,fin7,fin8,fin9,fin10,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin14a,fin14b,fin15,fin16,fin17a,fin19,fin20,fin21,fin22a,fin22b,fin24,fin25,fin30,fin31a,fin31b,fin31c,fin32,fin33,fin34a,fin34b,fin34c1,fin34c2,fin35,fin36,fin37,fin38,fin39a,fin39b,fin39c1,fin39c2,fin40,fin41,fin46,fin47a,fin47b,fin47c1,fin47c2,fin47c3,fin47c4,fin47c5,mobileowner,account_fin,account,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,pay_onlne,pay_onlne_mobintbuy,pay_cash,pay_cash_mobintbuy
Italy,ITA,143085188,1.57519264573416,Female,38,secondary,Middle 20%,in workforce,yes,yes,yes,no,no,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,yes,no,no,no,no,Possible,Main source: Money from working,yes,no,no,yes,yes,no,yes,no,NA,NA,No,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,into an account,4,4,NA,2,NA,NA,NA,NA,NA
Italy,ITA,154878102,1.12823912269366,Female,66,completed primary or less,Fourth 20%,in workforce,yes,yes,yes,no,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,yes,yes,no,no,no,no,yes,Possible,"Main source: Borrowing from a bank, empoyer, or private lender",yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,1,NA,1,NA,NA,NA,NA,NA
Italy,ITA,131657907,0.568149332386905,Male,37,secondary,Middle 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,no,no,yes,no,no,no,no,Possible,Main source: Family or friends,yes,yes,no,NA,yes,no,yes,no,NA,NA,Yes,No,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,0,yes,into an account,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,130468735,0.396580567760351,Male,36,completed tertiary or more,Middle 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,yes,yes,yes,no,no,no,no,Possible,Main source: Money from working,yes,yes,no,NA,yes,no,yes,no,NA,NA,No,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,into an account,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,149830848,0.478566689139369,Male,28,secondary,Richest 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,no,yes,no,no,no,no,yes,Possible,Main source: Savings,yes,yes,no,NA,yes,no,yes,no,NA,NA,No,NA,yes,no,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,into an account,1,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,158305488,0.341043198961253,Female,28,completed tertiary or more,Richest 20%,out of workforce,yes,yes,yes,no,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,no,yes,no,no,no,no,no,Possible,Main source: Money from working,yes,yes,yes,NA,yes,no,yes,no,NA,NA,No,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,into an account,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,129455613,0.477933080196789,Female,44,secondary,Fourth 20%,in workforce,yes,yes,yes,no,yes,yes,no,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,no,no,yes,no,no,yes,no,Possible,Main source: Money from working,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,0,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,119866889,1.76676262678247,Female,50,secondary,Second 20%,in workforce,yes,yes,yes,no,no,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,yes,no,no,no,no,yes,Possible,Main source: Money from working,yes,no,no,yes,yes,no,yes,no,NA,NA,No,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,into an account,4,4,NA,2,NA,NA,NA,NA,NA
Italy,ITA,194458869,0.880493538990775,Male,56,secondary,Richest 20%,in workforce,yes,yes,yes,no,yes,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,no,no,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,NA,yes,no,no,no,yes,no,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,0,0,Main source: Family or friends,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,123239626,0.514667556648943,Male,76,secondary,Richest 20%,out of workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,yes,yes,no,yes,no,yes,no,Possible,Main source: Savings,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,yes,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,1,NA,1,NA,NA,NA,NA,NA
Italy,ITA,131875057,0.725852544522672,Male,67,completed primary or less,Fourth 20%,out of workforce,yes,yes,yes,no,no,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,no,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,0,"Main source: Borrowing from a bank, empoyer, or private lender",4,1,NA,1,NA,NA,NA,NA,NA
Italy,ITA,147098930,0.725852544522672,Male,65,completed primary or less,Middle 20%,out of workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,yes,no,no,no,no,no,Possible,Main source: Family or friends,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,3,NA,1,NA,NA,NA,NA,NA
Italy,ITA,169528036,0.3123131018838,Female,65,secondary,Richest 20%,out of workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,no,no,yes,no,Possible,Main source: Savings,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,1,NA,1,NA,NA,NA,NA,NA
Italy,ITA,157617621,1.03628215638296,Male,43,secondary,Fourth 20%,in workforce,yes,yes,yes,no,yes,yes,no,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,no,yes,no,no,no,no,no,Possible,Main source: Money from working,yes,no,no,yes,yes,no,yes,no,NA,NA,No,NA,no,yes,yes,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,0,into an account,4,1,NA,2,NA,NA,NA,NA,NA
Italy,ITA,188059820,0.936265647992113,Male,40,secondary,Middle 20%,in workforce,yes,yes,yes,no,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,no,yes,no,yes,yes,no,no,yes,no,Possible,Main source: Savings,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,yes,yes,no,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,210229132,0.341043198961253,Female,31,completed tertiary or more,Fourth 20%,in workforce,yes,yes,yes,no,yes,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,yes,no,no,no,no,Possible,Main source: Savings,yes,yes,no,NA,yes,no,no,no,no,no,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,0,Main source: Money from working,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,195452462,1.87253129598423,Male,41,secondary,Second 20%,in workforce,yes,yes,yes,no,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,yes,no,no,no,no,no,Possible,Main source: Money from working,yes,yes,no,NA,yes,no,yes,no,NA,NA,No,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,into an account,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,180249553,1.70966478126522,Male,20,completed primary or less,Second 20%,in workforce,no,NA,NA,yes,no,no,NA,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,no,no,Possible,Main source: Family or friends,no,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,0,0,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,NA,4,NA,NA,NA,NA,NA
Italy,ITA,114118887,0.444811450538862,Male,51,completed tertiary or more,Richest 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,yes,yes,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,NA,yes,yes,yes,no,NA,NA,Yes,Yes,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,into an account,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,118512938,1.76676262678247,Female,52,secondary,Second 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,no,no,Possible,Main source: Family or friends,no,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,yes,yes,no,NA,NA,NA,NA,NA,yes,yes,yes,0,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,NA,4,NA,NA,NA,NA,NA
Italy,ITA,112585511,0.811318684845944,Male,52,completed tertiary or more,Middle 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,yes,yes,yes,no,no,no,no,Possible,Main source: Savings,yes,yes,no,NA,yes,yes,yes,no,NA,NA,No,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,into an account,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,136164781,0.444811450538862,Male,50,completed tertiary or more,Richest 20%,in workforce,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,no,no,yes,no,no,no,yes,Possible,Main source: Family or friends,yes,yes,no,NA,yes,no,yes,no,NA,NA,No,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,0,yes,into an account,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,175675718,0.739469595814108,Male,26,secondary,Richest 20%,out of workforce,yes,yes,yes,no,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,yes,no,no,no,yes,yes,Possible,Main source: Savings,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,1,NA,1,NA,NA,NA,NA,NA
Italy,ITA,126885681,0.883381313391234,Female,49,secondary,Fourth 20%,in workforce,yes,yes,yes,yes,yes,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,NA,yes,no,yes,no,NA,NA,Yes,Yes,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,0,into an account,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,210993673,3.08203269636351,Female,51,completed primary or less,Middle 20%,in workforce,no,NA,NA,no,no,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,yes,no,no,no,no,no,Possible,Main source: Family or friends,yes,yes,no,NA,yes,no,yes,no,NA,NA,No,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,0,into an account,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,138038589,0.871731241630328,Female,37,secondary,Second 20%,in workforce,yes,yes,yes,no,yes,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,Not possible,NA,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,no,yes,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,0,0,"Main source: Borrowing from a bank, empoyer, or private lender",1,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,195932420,0.478566689139369,Male,33,secondary,Fourth 20%,in workforce,yes,yes,yes,yes,yes,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,yes,no,no,no,no,no,Possible,Main source: Family or friends,yes,yes,no,NA,yes,no,yes,no,NA,NA,No,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,0,into an account,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,143042458,0.405419657758673,Male,33,completed tertiary or more,Richest 20%,in workforce,no,NA,NA,no,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,no,yes,Not possible,NA,yes,no,no,yes,yes,no,yes,no,NA,NA,No,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,0,yes,into an account,4,4,NA,2,NA,NA,NA,NA,NA
Italy,ITA,156490765,0.3123131018838,Male,66,secondary,Richest 20%,out of workforce,yes,yes,yes,yes,no,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,0,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,1,NA,1,NA,NA,NA,NA,NA
Italy,ITA,129880335,0.405419657758673,Male,29,completed tertiary or more,Richest 20%,out of workforce,no,NA,NA,no,no,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,yes,yes,yes,no,no,yes,no,Possible,Main source: Savings,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,201812384,0.94378581249466,Female,60,completed primary or less,Fourth 20%,out of workforce,yes,yes,no,no,yes,yes,no,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,yes,no,no,no,no,no,no,Possible,Main source: Selling assets,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,yes,no,no,no,no,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,0,"Main source: Borrowing from a bank, empoyer, or private lender",4,3,NA,1,NA,NA,NA,NA,NA
Italy,ITA,131362498,0.580812391270036,Male,33,secondary,Second 20%,in workforce,yes,yes,yes,no,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,no,yes,no,no,no,no,yes,Possible,Main source: Family or friends,yes,no,no,no,yes,no,no,no,no,no,NA,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,Main source: Money from working,4,4,NA,3,NA,NA,NA,NA,NA
Italy,ITA,150088618,0.843018763202511,Female,25,completed tertiary or more,Poorest 20%,in workforce,yes,yes,yes,yes,yes,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,Possible,Main source: Savings,no,NA,NA,NA,yes,no,yes,no,NA,NA,Yes,No,yes,no,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,0,into an account,3,4,NA,4,NA,NA,NA,NA,NA
Italy,ITA,196807991,0.3123131018838,Male,72,secondary,Richest 20%,out of workforce,yes,yes,yes,yes,yes,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,no,no,yes,yes,no,no,no,no,no,Possible,Main source: Savings,yes,yes,no,NA,no,NA,NA,NA,NA,NA,NA,NA,no,yes,yes,no,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,0,"Main source: Borrowing from a bank, empoyer, or private lender",4,1,NA,1,NA,NA,NA,NA,NA
Italy,ITA,189946965,0.375509360757081,Female,22,secondary,Poorest 20%,out of workforce,yes,no,NA,NA,NA,no,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,Possible,Main source: Family or friends,no,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,0,0,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,NA,4,NA,NA,NA,NA,NA
Italy,ITA,113725336,0.446391767925594,Male,20,secondary,Second 20%,in workforce,no,NA,NA,NA,NA,yes,no,NA,NA,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Possible,Main source: Savings,yes,no,no,yes,yes,no,yes,no,NA,NA,No,NA,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes,no,yes,yes,yes,0,0,into an account,4,4,NA,2,NA,NA,NA,NA,NA
Italy,ITA,127172877,0.3123131018838,Female,23,secondary,Richest 20%,in workforce,yes,yes,yes,no,yes,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,yes,no,yes,no,no,yes,no,Possible,Main source: Savings,yes,yes,no,NA,yes,yes,yes,no,NA,NA,Yes,Yes,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,into an account,4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,131194167,0.739469595814108,Male,27,completed tertiary or more,Fourth 20%,out of workforce,yes,yes,yes,no,yes,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,no,yes,no,no,no,yes,no,Possible,Main source: Savings,yes,yes,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,yes,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,151605434,0.880493538990775,Male,56,secondary,Richest 20%,in workforce,no,NA,NA,no,yes,yes,no,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes,no,no,yes,no,no,no,no,no,Possible,Main source: Money from working,yes,yes,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,yes,0,"Main source: Borrowing from a bank, empoyer, or private lender",4,4,NA,1,NA,NA,NA,NA,NA
Italy,ITA,189411435,1.59182194256531,Female,22,completed primary or less,Second 20%,in workforce,no,NA,NA,yes,no,no,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,no,no,no,no,no,no,no,no,no,no,Not possible,NA,no,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,no,no,no,no,no,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,0,0,"Main source: Borrowing from a bank, empoyer, or private lender",3,4,NA,4,NA,NA,NA,NA,NA
